GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV
Albany Park,57655,51542,51575.0,13354.0,13738.0,11975.0,8232.0,2329.0,1343.0,604.0,33.68762575452716,14932.0,24892.0,2337.0,7883.0,1531.0,49998.0,41047.0,29653.0,27243.0,2339.0,11394.0,1041.0,25729.0,12814.0,2494.0,8580.0,1622.0,219.0,N/A,3413.0,7459.0,4184.0,1355.0,34065.0,7378.0,8192.0,5068.0,2047.0,7339.0,4041.0,3627.0,3835.0,2967.0,2091.0,2259.0,1632.0,55560.95736724009,16411.0,6415.0,9996.0,1685.0,18096.0,3413.0,226.0,3476.0,3654.0,7303.0,5.3556938681420005,834.0,1612.0,2924.0,12726.0,,4353.0,7239.0,4790.0,1336.0,378.0,974.0,2782.0,1935.0,683.0,274438.45462713385,17805.0,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2516.0,1939.0,1886.0,1526.0,1505.0,4977.0,Health Care,Retail Trade,Manufacturing,Administration,Information,1081.0,784.0,618.0,534.0,401.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7184.0,2563.0,1390.0,769.0,560.0,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2130.0,560.0,222.0,154.0,144.0,,,,,,,,,,,,,,,,12281,,,,,,,,,,1.660925123,1229.1604880855677,302.877259167911230,0.24640985624232536,295.528239252722470,0.24043096252875104,34.520915193528879,0.028084953533851074,75.040162301229884,0.061049930443262006,53.804265215162694,0.043773181563103676,20.188114546908857,0.016424311343063172,413.623653946562970,0.3365090709926633,n/a,n/a,28.102924502385463,0.022863511132021584,5.474953959155370,0.004454222220958857,4022.0,4412.0,2725.0,5252.0,10752.0,1534.0,5659.0,2281.0,22.0,170.0,2089.0,4867.0,400.0,1225.0,3242.0,2947.0,932.0,1282.0,733.0,5906.0,4243.0,1136.0,527.0,25587.0,22290.0,47877.0,16365.0,31512.0,16525.0,16365.0,21012.0,967.0,294.0,2310.0,621.0,650.0,1801.0,3294.0,563.0,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,
Archer Heights,12644,13393,13233.0,4016.0,2933.0,2879.0,1897.0,907.0,369.0,231.0,33.061699650756694,2477.0,10178.0,79.0,439.0,60.0,13231.0,10012.0,6700.0,6038.0,662.0,3312.0,80.0,5742.0,3582.0,878.0,935.0,329.0,19.0,N/A,600.0,1556.0,1107.0,642.0,8151.0,2599.0,2881.0,1535.0,278.0,663.0,195.0,946.0,1149.0,787.0,384.0,493.0,148.0,44948.55967078189,3906.0,2188.0,1719.0,361.0,4267.0,1904.0,44.0,1092.0,1019.0,183.0,5.568301886792453,24.0,808.0,2248.0,1187.0,,353.0,1497.0,1762.0,393.0,263.0,541.0,1461.0,164.0,15.0,179387.41721854304,4679.0,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,718.0,539.0,511.0,510.0,433.0,9743.0,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3154.0,1902.0,1395.0,814.0,766.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1821.0,598.0,293.0,255.0,251.0,Outside of Chicago,South Lawndale,Gage Park,Brighton Park,West Lawn,5060.0,284.0,266.0,262.0,258.0,,,,,,,,,,,,,,,,15621,,,,,,,,,,1.504478182,1283.8040761683533,168.550456938644370,0.1312898596191568,68.805941906661317,0.053595360214168976,18.176619243562691,0.014158405928895864,52.723123548767987,0.0410678891954648,37.963040590016043,0.029570743149001898,333.605519215888480,0.2598570338018935,555.886936267357900,0.43299982184700664,n/a,n/a,15.005145544840264,0.011688033885688134,33.087292912614153,0.025772852358723317,857.0,820.0,711.0,1518.0,2957.0,551.0,949.0,520.0,5.0,64.0,451.0,1449.0,215.0,346.0,889.0,771.0,354.0,236.0,182.0,1012.0,729.0,246.0,37.0,6810.0,5468.0,12278.0,2291.0,9988.0,4447.0,2291.0,8451.0,1118.0,301.0,29.0,24.0,0.0,0.0,64.0,0.0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,
Armour Square,12032,13391,13699.0,2997.0,2824.0,2539.0,2541.0,1371.0,1043.0,385.0,42.05820105820106,1599.0,423.0,1248.0,10299.0,130.0,13674.0,11536.0,6688.0,5879.0,809.0,4848.0,187.0,5523.0,2159.0,1003.0,1012.0,1234.0,114.0,N/A,2088.0,2168.0,782.0,125.0,9974.0,3342.0,3010.0,920.0,505.0,1313.0,884.0,2483.0,1136.0,648.0,324.0,425.0,149.0,26543.20987654321,5165.0,1912.0,3252.0,527.0,5690.0,381.0,674.0,855.0,1114.0,2653.0,4.81700288184438,767.0,2163.0,895.0,1865.0,,1414.0,1813.0,2049.0,261.0,153.0,257.0,830.0,689.0,133.0,280661.76470588235,4828.0,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Professional,931.0,623.0,423.0,418.0,364.0,5107.0,Accommodation and Food Service,Administration,Arts and Entertainment,Health Care,Retail Trade,1531.0,797.0,758.0,718.0,360.0,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1518.0,768.0,665.0,314.0,261.0,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1236.0,724.0,665.0,256.0,237.0,,,,,,,,,,,,,,,,8150,,,,,,,,,,2.176483779,637.424147103849,56.118153538880584,0.0880389514483483,79.236438065970901,0.12430724255738262,9.858423031826433,0.015466033216059355,89.512771563719809,0.14042889961169985,11.249280643701150,0.01764803027122915,18.034999493747403,0.02829356179192431,343.632519878726950,0.5390955479801465,n/a,n/a,15.019186412592044,0.023562311658307983,14.762374474683751,0.023159421464902033,1632.0,1426.0,829.0,1277.0,3293.0,362.0,1872.0,1666.0,165.0,389.0,1112.0,1586.0,179.0,407.0,1000.0,647.0,329.0,160.0,158.0,890.0,580.0,228.0,82.0,4922.0,8144.0,13066.0,3684.0,9382.0,6940.0,3684.0,235.0,25.0,8758.0,0.0,1.0,6.0,138.0,218.0,0.0,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,
Ashburn,39584,41081,43283.0,12983.0,8368.0,8998.0,8477.0,2855.0,977.0,625.0,35.50751222921034,5044.0,16374.0,20721.0,314.0,830.0,42697.0,33085.0,22477.0,19608.0,2869.0,10608.0,320.0,18643.0,13105.0,2592.0,2763.0,130.0,53.0,N/A,860.0,4331.0,5142.0,2500.0,26882.0,4417.0,8141.0,6584.0,2239.0,3595.0,1906.0,2021.0,2673.0,2653.0,2166.0,2215.0,1105.0,65498.638529611984,12833.0,10784.0,2049.0,649.0,13482.0,11887.0,103.0,347.0,388.0,748.0,6.5650418229016445,235.0,2039.0,10408.0,800.0,,373.0,2421.0,6905.0,2802.0,981.0,4497.0,5931.0,262.0,85.0,159912.0658949243,16531.0,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2208.0,2143.0,1706.0,1574.0,1409.0,5380.0,Retail Trade,Health Care,Utilities,Administration,Accommodation and Food Service,1144.0,998.0,811.0,441.0,382.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Ashburn,6818.0,3795.0,847.0,844.0,288.0,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2880.0,288.0,191.0,135.0,97.0,,,,,,,,,,,,,,,,18740,,,,,,,,,,1.802752357,3109.7414378480985,1267.654973511757800,0.4076399915707973,41.014738501341689,0.013189115339995394,9.861780477391331,0.0031712541619587377,132.260600858036980,0.04253106037959208,182.693783246428130,0.05874886607063059,103.805630451137130,0.03338079146637005,1071.498310798453100,0.344561865419884,n/a,n/a,259.866613591216380,0.08356534418856404,41.085006412336043,0.013211711402207877,2447.0,3001.0,2672.0,4713.0,10089.0,1770.0,2744.0,1486.0,37.0,151.0,1298.0,3063.0,599.0,353.0,2111.0,2653.0,729.0,921.0,1003.0,5486.0,3899.0,1314.0,273.0,33201.0,7343.0,40544.0,26603.0,13941.0,5006.0,26603.0,12485.0,219.0,49.0,77.0,444.0,9.0,91.0,309.0,258.0,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,
Auburn Gresham,55928,48743,45770.0,11432.0,9224.0,7941.0,9587.0,4041.0,2700.0,845.0,39.657333890513996,257.0,614.0,44267.0,153.0,479.0,45656.0,36987.0,20671.0,15788.0,4876.0,16316.0,635.0,14864.0,8898.0,960.0,4638.0,265.0,103.0,N/A,5582.0,7574.0,3209.0,914.0,31118.0,5356.0,10100.0,8973.0,2113.0,2771.0,1805.0,7497.0,4448.0,2661.0,1297.0,1054.0,322.0,29820.675105485232,17279.0,7529.0,9750.0,3304.0,20583.0,8613.0,307.0,4152.0,3445.0,4031.0,5.842695514092894,732.0,1727.0,9724.0,8400.0,,3573.0,7132.0,6686.0,2264.0,928.0,4671.0,2670.0,175.0,13.0,130068.16182937555,14500.0,Health Care,Retail Trade,Administration,Education,Transportation,2816.0,1599.0,1562.0,1469.0,1226.0,2554.0,Retail Trade,Transportation,Accommodation and Food Service,Health Care,Manufacturing,619.0,343.0,334.0,225.0,178.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,4988.0,2709.0,1091.0,896.0,267.0,Outside of Chicago,Auburn Gresham,South Shore,Chicago Lawn,Roseland,957.0,240.0,83.0,74.0,73.0,,,,,,,,,,,,,,,,10796,,,,,,,,,,1.732237832,2411.968641548895,800.140272513142010,0.33173742756428026,319.436742515532160,0.13243818224369588,22.147236704121749,0.009182224147781394,90.518494841896583,0.037528885443455964,109.088948530189900,0.04522817861352302,54.893064205320009,0.02275861437819909,834.364134278164220,0.3459266094530815,n/a,n/a,59.343997546936642,0.024603967284096893,122.035750413591600,0.0505959108718859,6075.0,4776.0,2929.0,3499.0,10610.0,2694.0,6669.0,5249.0,87.0,433.0,4729.0,5782.0,952.0,1525.0,3305.0,2644.0,1095.0,1136.0,413.0,2660.0,2082.0,426.0,152.0,42495.0,737.0,43232.0,42479.0,753.0,224.0,42479.0,377.0,2.0,0.0,20.0,0.0,11.0,61.0,202.0,80.0,237,347,54862,45,437,,,,,,,,,,,,,,,,,,
Austin,117527,98514,97611.0,27986.0,20929.0,18001.0,18709.0,7336.0,3498.0,1152.0,34.914865495257345,4407.0,12270.0,79668.0,475.0,791.0,96571.0,75407.0,41617.0,34244.0,7364.0,33790.0,906.0,32683.0,19572.0,2368.0,9518.0,690.0,535.0,N/A,10651.0,13091.0,6320.0,2317.0,61875.0,13410.0,22597.0,13151.0,4490.0,5481.0,2746.0,13062.0,8848.0,4561.0,2583.0,2362.0,963.0,31919.547588561672,32379.0,12960.0,19419.0,4834.0,37213.0,9847.0,615.0,11490.0,6869.0,8293.0,5.7695909314933465,1261.0,2443.0,8837.0,24672.0,,6583.0,14019.0,11165.0,3422.0,2024.0,5467.0,6030.0,1255.0,202.0,164494.83352468428,33535.0,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,6078.0,4046.0,3793.0,2917.0,2703.0,15815.0,Health Care,Administration,Retail Trade,Manufacturing,Construction,3998.0,2293.0,2288.0,2140.0,1059.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15317.0,4817.0,1990.0,1695.0,1172.0,Outside of Chicago,Austin,Lake View,Belmont Cragin,Near North Side,7797.0,1172.0,312.0,299.0,273.0,,,,,,,,,,,,,,,,10556,,,,,,,,,,0.69933427,4574.247078117724,958.052871955039560,0.20944493281488255,794.188429362265650,0.1736216727691652,62.312473119085247,0.013622454593057632,206.106042373000550,0.045057916385621205,206.258358746002220,0.04509121506197175,499.204564570245280,0.10913371229078098,1470.444482759217600,0.32146153402896127,n/a,n/a,199.701299179453710,0.04365774208716981,177.978556053414560,0.038908819968389574,9990.0,8538.0,5202.0,8649.0,21036.0,5987.0,11343.0,9128.0,233.0,467.0,8428.0,11353.0,1157.0,2590.0,7606.0,4528.0,1602.0,1626.0,1300.0,5886.0,4058.0,1349.0,479.0,85410.0,4859.0,90269.0,78858.0,11411.0,4262.0,78858.0,9805.0,484.0,0.0,135.0,148.0,97.0,72.0,575.0,95.0,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,
Avalon Park,11147,10185,9795.0,2150.0,1676.0,1668.0,2329.0,1045.0,651.0,277.0,44.838568935427574,37.0,68.0,9573.0,19.0,99.0,9782.0,8217.0,4294.0,3255.0,1039.0,3923.0,182.0,2905.0,2028.0,268.0,591.0,9.0,9.0,N/A,952.0,1693.0,958.0,269.0,7075.0,852.0,1689.0,2443.0,492.0,1066.0,533.0,1387.0,986.0,478.0,488.0,343.0,191.0,37670.94017094017,3873.0,2528.0,1344.0,625.0,4497.0,2760.0,233.0,362.0,441.0,701.0,6.340336134453781,428.0,293.0,1889.0,1887.0,,1016.0,935.0,1444.0,689.0,413.0,1004.0,1411.0,72.0,41.0,160743.80165289255,3262.0,Health Care,Education,Public Administration,Retail Trade,Administration,596.0,453.0,339.0,313.0,286.0,3101.0,Health Care,Construction,Accommodation and Food Service,Other Service,Retail Trade,1959.0,346.0,136.0,125.0,123.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,915.0,814.0,275.0,182.0,85.0,Outside of Chicago,Chatham,Roseland,South Shore,Auburn Gresham,1001.0,144.0,129.0,122.0,120.0,,,,,,,,,,,,,,,,14159,,,,,,,,,,2.859074403,800.1087546700594,304.058607904666590,0.38002159847638606,27.299284537295076,0.03411946735735003,2.577755700298908,0.003221756649021915,44.905045827351969,0.056123677644134076,43.012419510616390,0.053758216316922326,12.008952785454342,0.015009150587792869,313.565352192726440,0.39190341358285885,n/a,n/a,28.048073960454293,0.03505532691242763,24.633262251195500,0.030787392473106374,1563.0,1107.0,529.0,675.0,2208.0,490.0,1665.0,840.0,14.0,74.0,752.0,1231.0,237.0,224.0,771.0,477.0,131.0,166.0,180.0,1024.0,587.0,286.0,151.0,8967.0,147.0,9114.0,8932.0,182.0,33.0,8932.0,61.0,0.0,0.0,0.0,0.0,0.0,47.0,16.0,59.0,96,85,10816,19,131,,,,,,,,,,,,,,,,,,
Avondale,43083,39262,38191.0,9226.0,12162.0,7750.0,5307.0,2173.0,1063.0,510.0,32.44994438264739,11898.0,23368.0,800.0,1340.0,785.0,38114.0,30712.0,21034.0,19633.0,1401.0,9678.0,790.0,18498.0,9449.0,1986.0,5814.0,949.0,300.0,N/A,2679.0,6642.0,3342.0,855.0,25860.0,6969.0,6215.0,3791.0,1225.0,4779.0,2881.0,3221.0,3890.0,2537.0,1428.0,1391.0,1051.0,47714.28571428572,13518.0,4992.0,8526.0,1620.0,15138.0,2397.0,376.0,4558.0,4625.0,3162.0,5.535188592456302,1086.0,898.0,2081.0,11073.0,,2956.0,6989.0,3952.0,807.0,434.0,678.0,2193.0,1689.0,379.0,278036.10503282276,15135.0,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1722.0,1590.0,1493.0,1430.0,1342.0,8088.0,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Construction,1759.0,1316.0,1057.0,748.0,548.0,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5498.0,2460.0,1310.0,850.0,533.0,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Portage Park,3911.0,343.0,318.0,228.0,188.0,,,,,,,,,,,,,,,,16583,,,,,,,,,,0.874526544,1269.2974245762475,161.303435278306860,0.12708088124590475,312.134012901273880,0.24591085340418084,34.998962119783293,0.02757349179327897,100.361982203891630,0.0790689244779625,27.475489536552768,0.021646218612414978,130.909043863817570,0.10313504252757884,478.377636628755570,0.3768837999403182,n/a,n/a,8.819099176648546,0.0069480162851451345,14.917762867217249,0.011752771713215692,3687.0,3974.0,2526.0,3331.0,8045.0,1288.0,5473.0,2093.0,0.0,65.0,2028.0,4671.0,354.0,1182.0,3135.0,2529.0,728.0,1057.0,744.0,3870.0,2618.0,956.0,296.0,22021.0,13426.0,35447.0,13925.0,21522.0,10552.0,13925.0,18051.0,1890.0,60.0,378.0,98.0,10.0,392.0,633.0,10.0,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,
Belmont Cragin,78144,78743,78107.0,24443.0,17805.0,17084.0,12405.0,4072.0,1615.0,682.0,32.50818649617963,10859.0,62945.0,2194.0,1333.0,775.0,77772.0,58425.0,40700.0,36277.0,4406.0,17725.0,537.0,34935.0,22374.0,4891.0,5501.0,1343.0,827.0,N/A,3191.0,8988.0,6781.0,2981.0,47925.0,17258.0,14394.0,7502.0,2566.0,4385.0,1819.0,5462.0,6412.0,4662.0,2118.0,2490.0,796.0,44795.727136431786,21941.0,10981.0,10961.0,2325.0,24266.0,9010.0,544.0,5977.0,5547.0,3096.0,5.663162956856279,1128.0,2118.0,8453.0,12569.0,,3588.0,9917.0,6759.0,2633.0,1370.0,2255.0,7157.0,1387.0,126.0,207223.3606557377,26150.0,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3630.0,3182.0,3170.0,2758.0,2679.0,13934.0,Administration,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,6420.0,2616.0,968.0,714.0,659.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12513.0,2731.0,1365.0,977.0,975.0,Outside of Chicago,Belmont Cragin,Austin,Portage Park,South Lawndale,7353.0,975.0,391.0,289.0,277.0,,,,,,,,,,,,,,,,14137,,,,,,,,,,0.888154331,2504.577926446,711.919376126375140,0.28424724525804224,385.334810201694720,0.15385219446874443,48.238626808710869,0.0192601820447893,242.312876747242800,0.09674798862860104,146.582076050286960,0.05852565995352644,121.358751873512280,0.048454771796907325,775.695242207136860,0.30971096327909015,n/a,n/a,64.779750780439628,0.025864537931292154,8.356415650600848,0.0033364566390068824,4351.0,4667.0,3962.0,8961.0,16684.0,3638.0,5257.0,3504.0,0.0,74.0,3430.0,7881.0,396.0,1890.0,5596.0,4621.0,1498.0,1467.0,1656.0,5373.0,3420.0,1381.0,573.0,41760.0,30010.0,71770.0,12965.0,58805.0,27126.0,12965.0,52636.0,4279.0,17.0,936.0,309.0,27.0,206.0,359.0,36.0,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,
Beverly,21992,20034,20836.0,5367.0,2802.0,4448.0,5214.0,1918.0,818.0,269.0,42.96257796257796,12043.0,1200.0,7047.0,89.0,457.0,20810.0,16452.0,10866.0,10152.0,714.0,5586.0,418.0,9481.0,6700.0,593.0,1928.0,208.0,52.0,N/A,382.0,2775.0,3118.0,1335.0,14447.0,457.0,2043.0,2853.0,1048.0,3955.0,4091.0,744.0,1180.0,1105.0,1212.0,1337.0,2032.0,91006.600660066,7610.0,6162.0,1448.0,424.0,8034.0,6261.0,72.0,329.0,242.0,1114.0,7.201153568853641,124.0,340.0,3818.0,3752.0,,894.0,1434.0,3218.0,1724.0,764.0,617.0,2611.0,2313.0,555.0,290044.2477876106,9791.0,Education,Public Administration,Health Care,Professional,Retail Trade,1810.0,1257.0,1167.0,760.0,696.0,3328.0,Health Care,Accommodation and Food Service,Retail Trade,Education,Administration,613.0,474.0,430.0,417.0,411.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Beverly,3633.0,3090.0,488.0,459.0,322.0,Outside of Chicago,Beverly,Morgan Park,Roseland,Auburn Gresham,1586.0,322.0,99.0,92.0,74.0,,,,,,,,,,,,,,,,15506,,,,,,,,,,2.046641896,2038.093741816018,1043.623654020587100,0.5120587108474605,58.802969812467261,0.02885194562251666,9.862034560105339,0.004838852285232914,66.065631228683600,0.03241540360641932,42.687783336554205,0.0209449557989996,n/a,n/a,548.885401231256200,0.2693131282284291,n/a,n/a,257.611428719585720,0.1263982237097908,10.554838906778697,0.005178779901151131,2018.0,2319.0,1261.0,2012.0,5325.0,358.0,2285.0,446.0,0.0,23.0,423.0,1324.0,117.0,488.0,719.0,1105.0,458.0,337.0,310.0,4534.0,3165.0,923.0,446.0,18762.0,639.0,19401.0,18449.0,952.0,199.0,18449.0,553.0,60.0,18.0,39.0,8.0,0.0,4.0,199.0,71.0,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,
Bridgeport,33694,31977,32789.0,6667.0,8973.0,6270.0,7157.0,2211.0,1040.0,470.0,36.77161654135338,10955.0,8160.0,863.0,12193.0,618.0,32764.0,27392.0,18073.0,16279.0,1794.0,9319.0,351.0,15657.0,8011.0,2426.0,3456.0,1481.0,284.0,N/A,3019.0,5538.0,3198.0,787.0,23516.0,5144.0,6899.0,3647.0,1516.0,4099.0,2211.0,3609.0,3458.0,2099.0,1274.0,1218.0,882.0,42629.65425531915,12540.0,5572.0,6969.0,1184.0,13726.0,3739.0,461.0,3387.0,3916.0,2206.0,5.253650254668931,1778.0,1622.0,1554.0,8772.0,,2163.0,5608.0,4258.0,1314.0,383.0,699.0,2658.0,1767.0,428.0,267845.3038674033,13253.0,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1940.0,1423.0,1215.0,1195.0,1087.0,4390.0,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Education,1395.0,442.0,405.0,375.0,354.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4070.0,2503.0,1037.0,939.0,724.0,Outside of Chicago,Bridgeport,New City,Brighton Park,Armour Square,1670.0,540.0,117.0,117.0,99.0,,,,,,,,,,,,,,,,11837,,,,,,,,,,1.953005605,1338.1891540991367,243.563264633126890,0.18200959400025377,224.911108959168870,0.1680712388605317,31.112696150983101,0.023249849287508267,55.910029380305829,0.04178036356746907,32.919511141089650,0.02460004330497726,135.144977348502610,0.10099093759243748,491.183721874355170,0.3670510408560425,n/a,n/a,47.658086980469889,0.035613864328883395,75.785757631134601,0.05663306820189651,3796.0,3607.0,2582.0,2556.0,7502.0,983.0,5038.0,2314.0,45.0,111.0,2158.0,4301.0,400.0,1317.0,2584.0,2068.0,1073.0,473.0,522.0,3330.0,2347.0,723.0,260.0,19123.0,11703.0,30826.0,14091.0,16735.0,8952.0,14091.0,5028.0,212.0,10421.0,104.0,20.0,74.0,190.0,676.0,11.0,13819,10165,354,8808,548,,,,,,,,,,,,,,,,,,
