GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Albany Park,57655,51542,-6113,52079.0,13550.0,13719.0,11806.0,8412.0,3257.0,1335.0,33.77074976569822,15349.0,25003.0,2215.0,8223.0,1289.0,50477.0,41421.0,29624.0,26868.0,2703.0,11797.0,1260.0,25079.0,12398.0,2519.0,8366.0,1607.0,189.0,34545.0,26212.0,10482.0,3993.0,3997.0,3056.0,1912.0,1936.0,1579.0,51968.84984025559,16473.0,6405.0,10068.0,1718.0,18191.0,3500.0,164.0,3570.0,3643.0,7290.0,5.3775095871870064,754.0,1552.0,3448.0,12437.0,-9999,4459.0,7331.0,4826.0,1234.0,341.0,1012.0,2950.0,1768.0,656.0,260401.64778578785,17570.0,Health Care,Accommodation and Food Service,Retail Trade,Education,Professional,2459.0,1929.0,1769.0,1536.0,1528.0,4876.0,Health Care,Retail Trade,Manufacturing,Information,Accommodation and Food Service,1046.0,918.0,594.0,369.0,353.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7238.0,2741.0,1370.0,806.0,462.0,Outside of Chicago,Albany Park,Irving Park,West Ridge,Portage Park,2064.0,462.0,172.0,151.0,147.0,,,,,,,,,,,,,,,,12281,,,,,,,,,,0.5396210469169044,1229.1604880855677,302.877259167911230,0.24640985624232536,295.528239252722470,0.24043096252875104,34.520915193528879,0.028084953533851074,75.040162301229884,0.061049930443262006,53.804265215162694,0.043773181563103676,20.188114546908857,0.016424311343063172,413.623653946562970,0.3365090709926633,n/a,n/a,28.102924502385463,0.022863511132021584,5.474953959155370,0.004454222220958857
Archer Heights,12644,13393,749,13266.0,4205.0,2948.0,2830.0,1924.0,947.0,411.0,31.99132420091324,2572.0,10109.0,114.0,388.0,82.0,13256.0,9898.0,6594.0,5808.0,786.0,3304.0,69.0,5522.0,3353.0,900.0,899.0,335.0,35.0,7944.0,5407.0,888.0,890.0,1238.0,854.0,317.0,425.0,114.0,43393.536121673,3839.0,2140.0,1700.0,407.0,4247.0,1951.0,57.0,1044.0,958.0,201.0,5.596749226006192,11.0,833.0,2098.0,1304.0,-9999,357.0,1455.0,1806.0,402.0,227.0,534.0,1482.0,87.0,30.0,177566.9642857143,4612.0,Manufacturing,Administration,Health Care,Accommodation and Food Service,Retail Trade,672.0,517.0,483.0,478.0,466.0,9392.0,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3063.0,2003.0,1216.0,824.0,699.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Archer Heights,1810.0,660.0,258.0,244.0,232.0,Outside of Chicago,South Lawndale,Brighton Park,West Lawn,Archer Heights,5031.0,295.0,268.0,251.0,232.0,,,,,,,,,,,,,,,,15621,,,,,,,,,,1.1310979605638674,1283.8040761683533,168.550456938644370,0.1312898596191568,68.805941906661317,0.053595360214168976,18.176619243562691,0.014158405928895864,52.723123548767987,0.0410678891954648,37.963040590016043,0.029570743149001898,333.605519215888480,0.2598570338018935,555.886936267357900,0.43299982184700664,n/a,n/a,15.005145544840264,0.011688033885688134,33.087292912614153,0.025772852358723317
Armour Square,12032,13391,1359,14068.0,3029.0,3004.0,2500.0,2806.0,1815.0,915.0,41.95464480874317,1545.0,438.0,1348.0,10324.0,413.0,14058.0,11880.0,6997.0,5919.0,1078.0,4883.0,188.0,5661.0,2250.0,1082.0,1113.0,1122.0,94.0,10115.0,6636.0,2150.0,2660.0,1147.0,646.0,263.0,383.0,121.0,24336.46112600536,5221.0,1858.0,3362.0,498.0,5717.0,441.0,753.0,751.0,1160.0,2599.0,4.854785478547855,874.0,1945.0,908.0,1991.0,-9999,1358.0,1877.0,2040.0,285.0,158.0,226.0,829.0,641.0,163.0,275865.3846153846,4713.0,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Administration,880.0,656.0,416.0,386.0,385.0,4909.0,Accommodation and Food Service,Arts and Entertainment,Administration,Health Care,Retail Trade,1397.0,750.0,651.0,583.0,366.0,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1511.0,874.0,589.0,280.0,259.0,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1314.0,655.0,589.0,236.0,225.0,,,,,,,,,,,,,,,,8150,,,,,,,,,,1.0676134782905917,637.424147103849,56.118153538880584,0.0880389514483483,79.236438065970901,0.12430724255738262,9.858423031826433,0.015466033216059355,89.512771563719809,0.14042889961169985,11.249280643701150,0.01764803027122915,18.034999493747403,0.02829356179192431,343.632519878726950,0.5390955479801465,n/a,n/a,15.019186412592044,0.023562311658307983,14.762374474683751,0.023159421464902033
Ashburn,39584,41081,1497,42752.0,12506.0,8188.0,8951.0,8557.0,3401.0,1149.0,36.16439024390244,5555.0,15455.0,20817.0,284.0,641.0,42132.0,32943.0,21985.0,19004.0,2981.0,10958.0,263.0,18028.0,12824.0,2320.0,2602.0,181.0,101.0,26767.0,22201.0,5359.0,2138.0,2888.0,2484.0,2083.0,2307.0,923.0,63573.16227461858,12823.0,10850.0,1973.0,658.0,13481.0,11826.0,50.0,316.0,472.0,809.0,6.526369168356998,291.0,2340.0,10112.0,738.0,-9999,397.0,2221.0,7452.0,2548.0,863.0,4643.0,5811.0,319.0,60.0,159074.3782261849,15903.0,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2174.0,2048.0,1736.0,1460.0,1311.0,5064.0,Retail Trade,Health Care,Utilities,Accommodation and Food Service,Administration,1107.0,862.0,776.0,353.0,336.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Ashburn,6439.0,3723.0,957.0,826.0,254.0,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2686.0,254.0,165.0,155.0,92.0,,,,,,,,,,,,,,,,18740,,,,,,,,,,6.078466822399335,3109.7414378480985,1267.654973511757800,0.4076399915707973,41.014738501341689,0.013189115339995394,9.861780477391331,0.0031712541619587377,132.260600858036980,0.04253106037959208,182.693783246428130,0.05874886607063059,103.805630451137130,0.03338079146637005,1071.498310798453100,0.344561865419884,n/a,n/a,259.866613591216380,0.08356534418856404,41.085006412336043,0.013211711402207877
Auburn Gresham,55928,48743,-7185,45842.0,12050.0,8948.0,7776.0,9624.0,5420.0,2024.0,39.13457656867047,231.0,689.0,44402.0,117.0,403.0,45727.0,36609.0,20187.0,14910.0,5234.0,16422.0,568.0,14122.0,8150.0,999.0,4601.0,237.0,135.0,30659.0,25304.0,4273.0,7455.0,4475.0,2839.0,1103.0,972.0,306.0,29388.71473354232,17150.0,7498.0,9652.0,3285.0,20435.0,8335.0,372.0,4132.0,3666.0,3874.0,5.811174391201885,629.0,1630.0,9140.0,9036.0,-9999,3672.0,7045.0,6608.0,2139.0,971.0,4512.0,2768.0,196.0,22.0,130475.94677584442,14393.0,Health Care,Education,Retail Trade,Administration,Transportation,2954.0,1643.0,1482.0,1381.0,1172.0,2502.0,Retail Trade,Accommodation and Food Service,Transportation,Health Care,Education,565.0,338.0,274.0,228.0,194.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Hyde Park,4881.0,2855.0,1089.0,1068.0,291.0,Outside of Chicago,Auburn Gresham,Greater Grand Crossing,South Shore,Chatham,952.0,217.0,79.0,79.0,77.0,,,,,,,,,,,,,,,,10796,,,,,,,,,,1.29453334380997,2411.968641548895,800.140272513142010,0.33173742756428026,319.436742515532160,0.13243818224369588,22.147236704121749,0.009182224147781394,90.518494841896583,0.037528885443455964,109.088948530189900,0.04522817861352302,54.893064205320009,0.02275861437819909,834.364134278164220,0.3459266094530815,n/a,n/a,59.343997546936642,0.024603967284096893,122.035750413591600,0.0505959108718859
Austin,117527,98514,-19013,97643.0,28457.0,20624.0,18286.0,18392.0,9571.0,2313.0,34.70022780832679,4353.0,11132.0,81066.0,467.0,625.0,96495.0,75296.0,41638.0,33519.0,8110.0,33658.0,862.0,31821.0,19122.0,2303.0,9133.0,755.0,508.0,61770.0,47647.0,7685.0,12989.0,8564.0,4773.0,2559.0,2273.0,879.0,31634.300421151147,32037.0,12670.0,19367.0,5258.0,37295.0,9937.0,616.0,11234.0,7074.0,8364.0,5.747960519689798,1243.0,2513.0,8659.0,24880.0,-9999,6788.0,13808.0,11384.0,3333.0,1982.0,4982.0,6220.0,1280.0,182.0,168982.0022497188,33030.0,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,6253.0,3731.0,3626.0,2786.0,2733.0,16657.0,Administration,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,4756.0,2401.0,2063.0,2016.0,898.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15019.0,4968.0,2028.0,1857.0,1283.0,Outside of Chicago,Austin,Belmont Cragin,Humboldt Park,North Lawndale,8643.0,1283.0,372.0,344.0,260.0,,,,,,,,,,,,,,,,10556,,,,,,,,,,2.0452187988842385,4574.247078117724,958.052871955039560,0.20944493281488255,794.188429362265650,0.1736216727691652,62.312473119085247,0.013622454593057632,206.106042373000550,0.045057916385621205,206.258358746002220,0.04509121506197175,499.204564570245280,0.10913371229078098,1470.444482759217600,0.32146153402896127,n/a,n/a,199.701299179453710,0.04365774208716981,177.978556053414560,0.038908819968389574
Avalon Park,11147,10185,-962,9780.0,2031.0,1816.0,1636.0,2319.0,1516.0,462.0,45.024664429530205,52.0,62.0,9521.0,59.0,86.0,9775.0,8279.0,4498.0,3493.0,1005.0,3782.0,178.0,3192.0,2129.0,393.0,631.0,8.0,30.0,7046.0,6238.0,1556.0,1407.0,841.0,533.0,351.0,490.0,154.0,41351.35135135135,3775.0,2500.0,1274.0,639.0,4413.0,2652.0,255.0,332.0,464.0,711.0,6.265657620041754,382.0,192.0,1851.0,1989.0,-9999,956.0,957.0,1503.0,655.0,341.0,1145.0,1215.0,66.0,74.0,155442.70833333334,3392.0,Health Care,Education,Public Administration,Administration,Transportation,675.0,487.0,306.0,284.0,257.0,2644.0,Health Care,Construction,Retail Trade,Wholesale Trade,Finance,1673.0,251.0,135.0,102.0,94.0,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,912.0,902.0,289.0,244.0,91.0,Outside of Chicago,South Shore,Auburn Gresham,Roseland,Austin,871.0,116.0,113.0,110.0,98.0,,,,,,,,,,,,,,,,14159,,,,,,,,,,2.8679012229503367,800.1087546700594,304.058607904666590,0.38002159847638606,27.299284537295076,0.03411946735735003,2.577755700298908,0.003221756649021915,44.905045827351969,0.056123677644134076,43.012419510616390,0.053758216316922326,12.008952785454342,0.015009150587792869,313.565352192726440,0.39190341358285885,n/a,n/a,28.048073960454293,0.03505532691242763,24.633262251195500,0.030787392473106374
Avondale,43083,39262,-3821,39721.0,10176.0,12222.0,8105.0,5728.0,2696.0,794.0,31.984017354596624,12327.0,24563.0,842.0,1277.0,712.0,39642.0,31292.0,21289.0,19621.0,1668.0,10003.0,766.0,18503.0,9720.0,2263.0,5343.0,970.0,207.0,26009.0,18795.0,6888.0,3414.0,4239.0,2572.0,1374.0,1194.0,771.0,44663.323782234955,13564.0,5050.0,8514.0,1596.0,15160.0,2472.0,445.0,4544.0,4767.0,2920.0,5.541456710948236,1049.0,921.0,1888.0,11302.0,-9999,2835.0,6944.0,4121.0,707.0,553.0,716.0,2332.0,1670.0,324.0,274928.63939105615,14908.0,Accommodation and Food Service,Retail Trade,Health Care,Manufacturing,Administration,1666.0,1637.0,1634.0,1377.0,1309.0,10284.0,Administration,Retail Trade,Manufacturing,Utilities,Construction,2759.0,1841.0,1539.0,991.0,494.0,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5481.0,2286.0,1181.0,815.0,537.0,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Irving Park,5655.0,398.0,290.0,256.0,234.0,,,,,,,,,,,,,,,,16583,,,,,,,,,,0.2220261115442347,1269.2974245762475,161.303435278306860,0.12708088124590475,312.134012901273880,0.24591085340418084,34.998962119783293,0.02757349179327897,100.361982203891630,0.0790689244779625,27.475489536552768,0.021646218612414978,130.909043863817570,0.10313504252757884,478.377636628755570,0.3768837999403182,n/a,n/a,8.819099176648546,0.0069480162851451345,14.917762867217249,0.011752771713215692
Belmont Cragin,78144,78743,599,79159.0,25314.0,18056.0,17714.0,11867.0,4780.0,1428.0,31.97512202802708,11276.0,63355.0,2483.0,1183.0,862.0,78851.0,58765.0,40580.0,35575.0,4990.0,18185.0,643.0,34043.0,21669.0,4940.0,5320.0,1327.0,786.0,47993.0,30130.0,5864.0,5597.0,6563.0,4484.0,2111.0,2261.0,709.0,43533.84841795438,21726.0,10745.0,10982.0,2492.0,24219.0,8771.0,517.0,5917.0,5720.0,3198.0,5.61236664795059,1114.0,2186.0,8070.0,12849.0,-9999,3475.0,10290.0,6548.0,2401.0,1506.0,2252.0,7022.0,1321.0,104.0,204817.5965665236,26623.0,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3960.0,3236.0,3164.0,2920.0,2634.0,10466.0,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,Health Care,3491.0,2494.0,956.0,811.0,539.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12671.0,2946.0,1335.0,961.0,897.0,Outside of Chicago,Belmont Cragin,Portage Park,Logan Square,Austin,5522.0,897.0,253.0,227.0,221.0,,,,,,,,,,,,,,,,14137,,,,,,,,,,0.8183497868901782,2504.577926446,711.919376126375140,0.28424724525804224,385.334810201694720,0.15385219446874443,48.238626808710869,0.0192601820447893,242.312876747242800,0.09674798862860104,146.582076050286960,0.05852565995352644,121.358751873512280,0.048454771796907325,775.695242207136860,0.30971096327909015,n/a,n/a,64.779750780439628,0.025864537931292154,8.356415650600848,0.0033364566390068824
Beverly,21992,20034,-1958,20815.0,5466.0,2890.0,4360.0,5285.0,2180.0,634.0,42.6722384784199,11604.0,1414.0,7257.0,101.0,439.0,20789.0,16495.0,10947.0,10163.0,784.0,5548.0,383.0,9490.0,6891.0,594.0,1734.0,224.0,47.0,14237.0,13749.0,7902.0,689.0,1226.0,1131.0,1110.0,1418.0,1918.0,90765.76576576577,7492.0,6227.0,1265.0,486.0,7978.0,6290.0,60.0,348.0,224.0,1039.0,7.191414496833216,148.0,237.0,3738.0,3855.0,-9999,860.0,1417.0,3181.0,1876.0,644.0,739.0,2662.0,2207.0,558.0,283454.7346514048,9789.0,Education,Public Administration,Health Care,Professional,Retail Trade,1787.0,1315.0,1236.0,703.0,685.0,2947.0,Retail Trade,Health Care,Education,Accommodation and Food Service,Administration,441.0,418.0,395.0,390.0,314.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Beverly,3630.0,3028.0,461.0,444.0,289.0,Outside of Chicago,Beverly,Morgan Park,Auburn Gresham,Mount Greenwood,1520.0,289.0,73.0,64.0,57.0,,,,,,,,,,,,,,,,15506,,,,,,,,,,12.376239669449228,2038.093741816018,1043.623654020587100,0.5120587108474605,58.802969812467261,0.02885194562251666,9.862034560105339,0.004838852285232914,66.065631228683600,0.03241540360641932,42.687783336554205,0.0209449557989996,n/a,n/a,548.885401231256200,0.2693131282284291,n/a,n/a,257.611428719585720,0.1263982237097908,10.554838906778697,0.005178779901151131
Bridgeport,33694,31977,-1717,33878.0,7632.0,8630.0,6797.0,7283.0,2528.0,1007.0,36.36659810777458,10818.0,9546.0,951.0,11702.0,861.0,33840.0,27681.0,18834.0,16720.0,2114.0,8847.0,360.0,16069.0,8540.0,2442.0,3380.0,1478.0,229.0,23593.0,18631.0,5819.0,3729.0,3202.0,2089.0,1382.0,1302.0,816.0,43056.492411467116,12519.0,5609.0,6911.0,1310.0,13831.0,3873.0,438.0,3622.0,3694.0,2168.0,5.302083333333333,1674.0,1607.0,1659.0,8890.0,-9999,2043.0,5442.0,4626.0,1297.0,422.0,709.0,2751.0,1747.0,385.0,267322.83464566927,12907.0,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1790.0,1386.0,1178.0,1148.0,1095.0,4703.0,Manufacturing,Retail Trade,Education,Accommodation and Food Service,Wholesale Trade,1413.0,448.0,415.0,390.0,383.0,Outside of Chicago,The Loop,Near West Side,Near North Side,Armour Square,3960.0,2690.0,901.0,875.0,655.0,Outside of Chicago,Bridgeport,New City,Brighton Park,McKinley Park,1832.0,526.0,132.0,118.0,106.0,,,,,,,,,,,,,,,,11837,,,,,,,,,,1.406756212895386,1338.1891540991367,243.563264633126890,0.18200959400025377,224.911108959168870,0.1680712388605317,31.112696150983101,0.023249849287508267,55.910029380305829,0.04178036356746907,32.919511141089650,0.02460004330497726,135.144977348502610,0.10099093759243748,491.183721874355170,0.3670510408560425,n/a,n/a,47.658086980469889,0.035613864328883395,75.785757631134601,0.05663306820189651
Brighton Park,44912,45368,456,44202.0,15143.0,9824.0,10091.0,6179.0,2139.0,826.0,30.745147928994083,2844.0,37620.0,677.0,2955.0,106.0,44106.0,32166.0,20579.0,17856.0,2721.0,11587.0,248.0,17136.0,10386.0,2652.0,3145.0,782.0,171.0,25686.0,14305.0,2245.0,3540.0,4726.0,1965.0,937.0,632.0,230.0,36077.44107744108,12030.0,5554.0,6476.0,1963.0,13993.0,3206.0,263.0,6402.0,3541.0,546.0,5.346905537459284,468.0,912.0,2675.0,9938.0,-9999,1217.0,6154.0,4998.0,1047.0,577.0,2249.0,2940.0,313.0,52.0,165602.83687943264,12260.0,Manufacturing,Accommodation and Food Service,Retail Trade,Administration,Health Care,2044.0,1429.0,1364.0,1334.0,1231.0,4427.0,Manufacturing,Retail Trade,Wholesale Trade,Accommodation and Food Service,Transportation,1328.0,779.0,661.0,357.0,349.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4762.0,1516.0,672.0,645.0,414.0,Outside of Chicago,Brighton Park,South Lawndale,Gage Park,West Lawn,2056.0,414.0,129.0,129.0,104.0,,,,,,,,,,,,,,,,13383,,,,,,,,,,0.18377093433932634,1742.2587384342291,246.082585181547960,0.14124342140060253,304.091753252233790,0.17453880215605724,27.385200409402049,0.015718216706442335,79.468266794276488,0.04561220732673423,46.853597340119798,0.026892445023537208,276.752571174390200,0.15884699847917433,697.362151205861890,0.4002632535696635,n/a,n/a,8.123042839666903,0.0046623630925031806,56.139570236729895,0.03222229224528535
Burnside,3294,2916,-378,2601.0,751.0,479.0,333.0,568.0,364.0,106.0,37.39895833333333,0.0,0.0,2601.0,0.0,0.0,2601.0,2074.0,1089.0,855.0,234.0,985.0,15.0,760.0,337.0,123.0,300.0,0.0,0.0,1680.0,1323.0,143.0,458.0,221.0,56.0,54.0,74.0,24.0,23632.075471698114,887.0,405.0,482.0,389.0,1276.0,683.0,12.0,219.0,174.0,188.0,5.703557312252965,212.0,143.0,420.0,501.0,-9999,290.0,276.0,458.0,235.0,17.0,287.0,112.0,6.0,0.0,116100.0,868.0,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,170.0,94.0,85.0,80.0,78.0,1760.0,Transportation,Manufacturing,Retail Trade,Health Care,Wholesale Trade,1036.0,404.0,104.0,88.0,58.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Grand Boulevard,307.0,176.0,75.0,63.0,17.0,Outside of Chicago,Roseland,Auburn Gresham,Chatham,South Shore,616.0,82.0,79.0,65.0,57.0,,,,,,,,,,,,,,,,15618,,,,,,,,,,2.6984971047064374,390.17408200960745,67.205561941679761,0.1722450696764244,13.892422045898801,0.0356057018814405,1.649768542546286,0.004228288393860213,14.603642961929941,0.03742853161007847,7.372730935424896,0.018896003797718563,116.359553816779540,0.29822471348549073,130.647160182499650,0.334843256398775,n/a,n/a,7.018790969341444,0.017988870334981956,31.424450613507158,0.08053956442123027
Calumet Heights,15974,13812,-2162,13732.0,2760.0,1823.0,2822.0,3008.0,2279.0,1040.0,46.72941176470588,308.0,443.0,12835.0,5.0,141.0,13725.0,11557.0,6486.0,5392.0,1094.0,5071.0,108.0,5091.0,3380.0,369.0,1237.0,79.0,26.0,10353.0,9160.0,2841.0,1337.0,1352.0,912.0,790.0,711.0,267.0,49922.94520547945,5369.0,4176.0,1193.0,621.0,5990.0,4491.0,183.0,544.0,505.0,235.0,6.453326456936566,94.0,443.0,3985.0,1468.0,-9999,322.0,1450.0,3121.0,759.0,338.0,1972.0,1970.0,125.0,86.0,153710.9375,4533.0,Health Care,Education,Public Administration,Administration,Retail Trade,838.0,639.0,443.0,382.0,372.0,2150.0,Health Care,Accommodation and Food Service,Retail Trade,Administration,Other Service,1262.0,261.0,180.0,77.0,76.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,1413.0,1161.0,355.0,324.0,116.0,Outside of Chicago,South Shore,Roseland,South Chicago,Auburn Gresham,1226.0,49.0,49.0,49.0,38.0,,,,,,,,,,,,,,,,15263,,,,,,,,,,1.5353453677198237,1120.896268218642,436.210648391821280,0.3891623701139257,49.682077688463671,0.044323528498689486,3.592654224782412,0.0032051620891663355,35.948513142776598,0.03207122207651465,30.247655049884504,0.026985240211348797,10.154115923467256,0.009058925621729873,463.357947343732920,0.4133816486695184,n/a,n/a,21.083362589528619,0.018809378875919408,70.619293864184769,0.0630025238431874
Chatham,37275,31028,-6247,31392.0,7526.0,5674.0,5959.0,7323.0,3281.0,1629.0,41.02223310479921,389.0,287.0,30329.0,109.0,278.0,31345.0,25266.0,14979.0,11933.0,3046.0,10286.0,351.0,10954.0,5892.0,911.0,3819.0,224.0,109.0,21854.0,18894.0,4895.0,5574.0,3490.0,2134.0,1186.0,850.0,325.0,32221.746575342466,13560.0,5027.0,8534.0,2972.0,16533.0,5366.0,454.0,1580.0,2938.0,6175.0,5.424884259259259,415.0,1495.0,7717.0,6905.0,-9999,4594.0,5575.0,4653.0,1288.0,424.0,2710.0,2005.0,243.0,45.0,140956.52173913043,9993.0,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,2040.0,1271.0,928.0,915.0,786.0,3855.0,Retail Trade,Finance,Health Care,Accommodation and Food Service,Manufacturing,1858.0,627.0,348.0,328.0,160.0,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,2833.0,2417.0,771.0,739.0,260.0,Outside of Chicago,Chatham,South Shore,Auburn Gresham,Roseland,1743.0,174.0,128.0,124.0,114.0,,,,,,,,,,,,,,,,11046,,,,,,,,,,1.1113452328317794,1889.8225597029843,527.917895002461930,0.27934786379385407,255.669632892508900,0.13528763934995647,17.706242951550394,0.009369262135559019,178.998069815762250,0.0947168658225218,69.078771108415921,0.03655304608030118,46.855866722800073,0.02479379160875517,685.507865266242110,0.36273662929178946,n/a,n/a,34.887349549055223,0.018460648260299275,73.200866394187344,0.038734253656963445
Chicago Lawn,61412,55628,-5784,55551.0,18975.0,12949.0,11042.0,8239.0,3484.0,862.0,30.391760922599246,1873.0,26377.0,26100.0,529.0,672.0,55255.0,40742.0,25571.0,19975.0,5588.0,15171.0,529.0,18718.0,11300.0,2703.0,4126.0,555.0,34.0,31956.0,22118.0,2733.0,6074.0,4888.0,2322.0,1272.0,864.0,285.0,33121.70474516696,15705.0,7021.0,8684.0,3025.0,18730.0,8045.0,114.0,4071.0,3609.0,2851.0,5.810556079170594,297.0,1914.0,10616.0,5903.0,-9999,3259.0,5480.0,6749.0,2126.0,1116.0,4742.0,2078.0,149.0,52.0,118931.96672608437,15976.0,Health Care,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,2363.0,1917.0,1751.0,1718.0,1628.0,3477.0,Retail Trade,Health Care,Accommodation and Food Service,Finance,Transportation,1638.0,421.0,314.0,204.0,199.0,Outside of Chicago,The Loop,Near West Side,Near North Side,New City,6906.0,2082.0,971.0,896.0,252.0,Outside of Chicago,Chicago Lawn,Gage Park,Ashburn,West Lawn,1780.0,194.0,88.0,74.0,72.0,,,,,,,,,,,,,,,,13492,,,,,,,,,,5.552011621107191,2256.186074447853,672.622691159264490,0.298123766819132,255.773498670769130,0.11336542742085823,34.140047970078705,0.015131751922736981,105.497757733578500,0.04675933378384871,65.370777369876308,0.028974018637126026,54.710983524593765,0.02424932240483886,706.759510775859550,0.3132540878521386,n/a,n/a,308.419797564125590,0.13669962821643772,52.891009679707196,0.02344266294288293
